2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-09 21:43:26,570 INFO Started: 20260309_214326
2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-09 21:43:26,570 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-09 21:43:26,570 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-09 21:43:26,572 INFO 
Found 542 input files

2026-03-09 21:43:26,572 INFO [1/542] BFI-0000234
2026-03-09 22:22:49,843 INFO   147,871 sequences -> part_table_BFI-0003163.bz2
2026-03-09 22:23:03,962 INFO   139,828 sequences -> part_table_BFI-0003450.bz2
2026-03-09 22:23:15,849 INFO   118,471 sequences -> part_table_BFI-0003451.bz2
2026-03-09 22:23:26,987 INFO   111,273 sequences -> part_table_BFI-0003452.bz2
2026-03-09 22:23:44,425 INFO   171,694 sequences -> part_table_BFI-0003453.bz2
2026-03-09 22:23:57,259 INFO   124,479 sequences -> part_table_BFI-0003454.bz2
2026-03-09 22:24:11,242 INFO   139,123 sequences -> part_table_BFI-0003455.bz2
2026-03-09 22:24:27,098 INFO   156,024 sequences -> part_table_BFI-0003456.bz2
2026-03-09 22:24:41,417 INFO   139,637 sequences -> part_table_BFI-0003457.bz2
2026-03-09 22:24:56,120 INFO   141,226 sequences -> part_table_BFI-0003458.bz2
2026-03-09 22:25:10,398 INFO   142,119 sequences -> part_table_BFI-0003459.bz2
2026-03-09 22:25:26,498 INFO   156,912 sequences -> part_table_BFI-0003460.bz2
2026-03-09 22:25:39,128 INFO   128,813 sequences -> part_table_BFI-0003461.bz2
2026-03-09 22:25:51,232 INFO   122,377 sequences -> part_table_BFI-0003462.bz2
2026-03-09 22:26:04,946 INFO   139,612 sequences -> part_table_BFI-0003463.bz2
2026-03-09 22:26:17,481 INFO   127,262 sequences -> part_table_BFI-0003465.bz2
2026-03-09 22:26:30,437 INFO   135,292 sequences -> part_table_BFI-0003466.bz2
2026-03-09 22:26:44,859 INFO   142,433 sequences -> part_table_BFI-0003467.bz2
2026-03-09 22:26:57,559 INFO   133,166 sequences -> part_table_BFI-0003468.bz2
2026-03-09 22:27:07,655 INFO   104,019 sequences -> part_table_BFI-0003469.bz2
2026-03-09 22:27:19,641 INFO   124,143 sequences -> part_table_BFI-0003470.bz2
2026-03-09 22:27:30,874 INFO   116,727 sequences -> part_table_BFI-0003471.bz2
2026-03-09 22:27:30,874 INFO [150/542] BFI-0003472
2026-03-09 22:27:42,479 INFO   120,336 sequences -> part_table_BFI-0003472.bz2
2026-03-09 22:27:54,674 INFO   124,015 sequences -> part_table_BFI-0003473.bz2
2026-03-09 22:28:05,593 INFO   112,869 sequences -> part_table_BFI-0003474.bz2
2026-03-09 22:28:18,518 INFO   132,181 sequences -> part_table_BFI-0003475.bz2
2026-03-09 22:28:25,242 INFO   71,785 sequences -> part_table_BFI-0003476.bz2
2026-03-09 22:28:37,418 INFO   126,056 sequences -> part_table_BFI-0003477.bz2
2026-03-09 22:28:46,372 INFO   93,357 sequences -> part_table_BFI-0003478.bz2
2026-03-09 22:29:00,016 INFO   140,661 sequences -> part_table_BFI-0003479.bz2
2026-03-09 22:29:12,050 INFO   123,948 sequences -> part_table_BFI-0003480.bz2
2026-03-09 22:29:25,187 INFO   136,714 sequences -> part_table_BFI-0003481.bz2
2026-03-09 22:29:31,733 INFO   70,663 sequences -> part_table_BFI-0003482.bz2
