2026-03-12 23:25:17,650 INFO ============================================================
2026-03-12 23:25:17,650 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-12 23:25:17,650 INFO Started: 20260312_232517
2026-03-12 23:25:17,650 INFO ============================================================
2026-03-12 23:25:17,650 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-12 23:25:17,650 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-12 23:25:17,650 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-12 23:25:17,652 INFO 
Found 542 input files

2026-03-12 23:25:17,652 INFO [1/542] BFI-0000234
2026-03-13 00:08:59,575 INFO   83,051 sequences -> part_table_BFI-0003709.tsv.gz
2026-03-13 00:09:06,117 INFO   75,791 sequences -> part_table_BFI-0003710.tsv.gz
2026-03-13 00:09:20,971 INFO   168,096 sequences -> part_table_BFI-0003711.tsv.gz
2026-03-13 00:09:35,689 INFO   178,874 sequences -> part_table_BFI-0003712.tsv.gz
2026-03-13 00:09:50,638 INFO   169,751 sequences -> part_table_BFI-0003713.tsv.gz
2026-03-13 00:10:04,740 INFO   160,690 sequences -> part_table_BFI-0003714.tsv.gz
2026-03-13 00:10:19,003 INFO   161,920 sequences -> part_table_BFI-0003715.tsv.gz
2026-03-13 00:10:31,610 INFO   144,670 sequences -> part_table_BFI-0003716.tsv.gz
2026-03-13 00:10:45,659 INFO   164,469 sequences -> part_table_BFI-0003717.tsv.gz
2026-03-13 00:11:00,959 INFO   174,055 sequences -> part_table_BFI-0003718.tsv.gz
2026-03-13 00:11:16,908 INFO   179,439 sequences -> part_table_BFI-0003719.tsv.gz
2026-03-13 00:11:32,238 INFO   173,218 sequences -> part_table_BFI-0003720.tsv.gz
2026-03-13 00:11:46,248 INFO   160,905 sequences -> part_table_BFI-0003721.tsv.gz
2026-03-13 00:11:51,455 INFO   61,895 sequences -> part_table_BFI-0003722.tsv.gz
2026-03-13 00:11:58,605 INFO   82,806 sequences -> part_table_BFI-0003723.tsv.gz
2026-03-13 00:12:05,770 INFO   84,082 sequences -> part_table_BFI-0003724.tsv.gz
2026-03-13 00:12:11,880 INFO   71,955 sequences -> part_table_BFI-0003725.tsv.gz
2026-03-13 00:12:16,221 INFO   51,697 sequences -> part_table_BFI-0003726.tsv.gz
2026-03-13 00:12:23,688 INFO   85,568 sequences -> part_table_BFI-0003727.tsv.gz
2026-03-13 00:12:31,179 INFO   86,761 sequences -> part_table_BFI-0003728.tsv.gz
2026-03-13 00:12:38,081 INFO   80,899 sequences -> part_table_BFI-0003729.tsv.gz
2026-03-13 00:12:44,765 INFO   78,979 sequences -> part_table_BFI-0003730.tsv.gz
2026-03-13 00:12:51,711 INFO   82,765 sequences -> part_table_BFI-0003731.tsv.gz
2026-03-13 00:12:58,535 INFO   79,607 sequences -> part_table_BFI-0003732.tsv.gz
2026-03-13 00:12:58,535 INFO [200/542] BFI-0003733
2026-03-13 00:13:05,727 INFO   88,507 sequences -> part_table_BFI-0003733.tsv.gz
2026-03-13 00:13:13,613 INFO   92,632 sequences -> part_table_BFI-0003734.tsv.gz
2026-03-13 00:13:21,133 INFO   89,001 sequences -> part_table_BFI-0003735.tsv.gz
2026-03-13 00:13:28,401 INFO   87,341 sequences -> part_table_BFI-0003736.tsv.gz
2026-03-13 00:13:33,879 INFO   65,397 sequences -> part_table_BFI-0003737.tsv.gz
2026-03-13 00:13:39,909 INFO   73,461 sequences -> part_table_BFI-0003738.tsv.gz
2026-03-13 00:13:46,691 INFO   80,069 sequences -> part_table_BFI-0003739.tsv.gz
2026-03-13 00:13:53,856 INFO   82,540 sequences -> part_table_BFI-0003740.tsv.gz
2026-03-13 00:14:00,482 INFO   77,341 sequences -> part_table_BFI-0003741.tsv.gz
2026-03-13 00:14:05,752 INFO   63,432 sequences -> part_table_BFI-0003742.tsv.gz
2026-03-13 00:14:10,148 INFO   53,506 sequences -> part_table_BFI-0003743.tsv.gz
2026-03-13 00:14:17,499 INFO   88,089 sequences -> part_table_BFI-0003745.tsv.gz
2026-03-13 00:14:23,626 INFO   72,605 sequences -> part_table_BFI-0003746.tsv.gz
2026-03-13 00:14:29,197 INFO   65,844 sequences -> part_table_BFI-0003747.tsv.gz
2026-03-13 00:14:36,941 INFO   90,384 sequences -> part_table_BFI-0003748.tsv.gz
2026-03-13 00:14:44,133 INFO   88,004 sequences -> part_table_BFI-0003749.tsv.gz
2026-03-13 00:14:50,929 INFO   88,632 sequences -> part_table_BFI-0003750.tsv.gz
2026-03-13 00:14:56,742 INFO   68,601 sequences -> part_table_BFI-0003751.tsv.gz
2026-03-13 00:15:03,658 INFO   84,954 sequences -> part_table_BFI-0003752.tsv.gz
2026-03-13 00:15:10,535 INFO   80,937 sequences -> part_table_BFI-0003754.tsv.gz
2026-03-13 00:15:16,451 INFO   69,434 sequences -> part_table_BFI-0003755.tsv.gz
2026-03-13 00:15:20,973 INFO   53,650 sequences -> part_table_BFI-0003756.tsv.gz
2026-03-13 00:15:28,025 INFO   81,777 sequences -> part_table_BFI-0003757.tsv.gz
2026-03-13 00:15:35,053 INFO   84,336 sequences -> part_table_BFI-0003758.tsv.gz
2026-03-13 00:15:41,313 INFO   74,632 sequences -> part_table_BFI-0003759.tsv.gz
2026-03-13 00:15:48,115 INFO   84,665 sequences -> part_table_BFI-0003760.tsv.gz
2026-03-13 00:15:54,702 INFO   81,688 sequences -> part_table_BFI-0003761.tsv.gz
2026-03-13 00:16:01,799 INFO   83,431 sequences -> part_table_BFI-0003762.tsv.gz
2026-03-13 00:16:08,933 INFO   86,405 sequences -> part_table_BFI-0003763.tsv.gz
2026-03-13 00:16:16,302 INFO   85,371 sequences -> part_table_BFI-0003764.tsv.gz
2026-03-13 00:16:23,659 INFO   87,212 sequences -> part_table_BFI-0003765.tsv.gz
2026-03-13 00:16:30,999 INFO   90,819 sequences -> part_table_BFI-0003766.tsv.gz
2026-03-13 00:16:38,151 INFO   85,548 sequences -> part_table_BFI-0003767.tsv.gz
2026-03-13 00:16:45,222 INFO   87,864 sequences -> part_table_BFI-0003768.tsv.gz
2026-03-13 00:16:52,098 INFO   81,072 sequences -> part_table_BFI-0003769.tsv.gz
2026-03-13 00:16:58,647 INFO   76,397 sequences -> part_table_BFI-0003770.tsv.gz
2026-03-13 00:17:05,036 INFO   79,547 sequences -> part_table_BFI-0003771.tsv.gz
2026-03-13 00:17:12,411 INFO   85,246 sequences -> part_table_BFI-0003772.tsv.gz
2026-03-13 00:17:25,805 INFO   152,522 sequences -> part_table_BFI-0003773.tsv.gz
2026-03-13 00:17:39,782 INFO   176,435 sequences -> part_table_BFI-0003774.tsv.gz
2026-03-13 00:17:46,555 INFO   82,516 sequences -> part_table_BFI-0003775.tsv.gz
2026-03-13 00:20:30,501 INFO   1,814,474 sequences -> part_table_BFI-0007450.tsv.gz
2026-03-13 00:26:39,297 INFO   4,299,270 sequences -> part_table_BFI-0007453.tsv.gz
2026-03-13 00:31:04,991 INFO   2,994,895 sequences -> part_table_BFI-0007455.tsv.gz
2026-03-13 00:32:11,500 INFO   763,572 sequences -> part_table_BFI-0007480.tsv.gz
2026-03-13 00:33:12,053 INFO   693,452 sequences -> part_table_BFI-0007481.tsv.gz
2026-03-13 00:34:26,634 INFO   867,732 sequences -> part_table_BFI-0007482.tsv.gz
2026-03-13 00:35:10,733 INFO   512,938 sequences -> part_table_BFI-0007483.tsv.gz
2026-03-13 00:36:21,075 INFO   802,467 sequences -> part_table_BFI-0007484.tsv.gz
2026-03-13 00:37:33,120 INFO   811,790 sequences -> part_table_BFI-0007485.tsv.gz
2026-03-13 00:37:33,120 INFO [250/542] BFI-0007486
2026-03-13 00:38:28,916 INFO   639,852 sequences -> part_table_BFI-0007486.tsv.gz
2026-03-13 00:38:32,220 INFO   40,633 sequences -> part_table_BFI-0009005.tsv.gz
2026-03-13 00:38:35,903 INFO   44,314 sequences -> part_table_BFI-0009012.tsv.gz
2026-03-13 00:38:39,277 INFO   40,537 sequences -> part_table_BFI-0009025.tsv.gz
2026-03-13 00:38:42,850 INFO   41,362 sequences -> part_table_BFI-0009035.tsv.gz
2026-03-13 00:38:53,680 INFO   123,107 sequences -> part_table_BFI-0009036.tsv.gz
2026-03-13 00:38:57,099 INFO   40,884 sequences -> part_table_BFI-0009047.tsv.gz
2026-03-13 00:39:04,102 INFO   79,746 sequences -> part_table_BFI-0009048.tsv.gz
2026-03-13 00:39:15,383 INFO   124,809 sequences -> part_table_BFI-0009051.tsv.gz
2026-03-13 00:39:25,140 INFO   109,292 sequences -> part_table_BFI-0009052.tsv.gz
